Standard,Non-Standard
madulas na kalsada,mdulas n klsada
mabilis na takbo,mbilis n takbo
mabagal na pag galaw,mbgal n pg galaw
alisin ang mahina,alsin ang mhina
kamay na bakal,kmay n bkal
lumilipat naman,lmilipad nman
tuloy ang laban,2loy ang lban
malakas na kalaban,mlkas n klaban
mahinang nilalang,mhinang nlalang
mabuting kaibigan,mbuting kaibgan
hindi katulad mo,di ktulad m
malinis na bahay,mlins n bhay
mahabang bagay,mhabng bgay
mahabang kahoy,mhabng khoy
apoy na mainit,apoy n maint
maduming kapaligiran,mduming kpligiran
malakas na ulan,mlkas n ulan
malakas na hangin,mlkas n hngin
sumingit si ate,smungit c ate
laruang baril,lruang bril
mahirap na pagsusulit,mhirap n pgssulit
ayoko na magsalita,yoko n mgslita
naka isa ako,nka isa aq
hindi makita,di mkita
malamig na tubig,mlamig n 2big
masakit mang aminin,msakit mng amnin
na ikaw ay mahal parin,n ikw ay mhal prin
nakakalungkot naman,nkkalungkot nman
masakit iwan,mskit iwan
walang baon,wlng baon
hihingi ka na naman,hhingi k n nman
nasaan na kayo,nasan n kau
nandito na ako,and2 n aq
sino ka ba,cno k b
matingkad na kulay,mtingkad n kulay
masarap na almusal,msarp n almsal
anong nangyari,nu nngyari
maraming salamat,mrming slamt
ganyang klase,gnyan klse
mababaw na dahilan,mbbaw n dhilan
hampas lupa,hmpas lupa
kahapon umalis,khapon umlis
dalawang kahon,dlwang khon
bilis nila,blis nla
grabe si ate,grav c ate
patawad na lang,ptawad n lng
wala na tapos na,wla n tpos n
nanghihinayang ako,nnghhinayang aq
nakaka pangbaba,nkka pngbba
nakaka lalake,nkka llake
mahusay na,mhusay n
maliwanag na ilaw,mliwnag n ilaw
panigurado,pnigurado
magkabalikan sana,mgkbalikan sna
sinauna ata,cnauna ata
walang panglasa,wlng pnglasa
negosyo at bayan,ngosyo at byan
masakit na katotohanan,mskit n ktotohanan
malaking katawan,mlaking ktawan
malakas na pasok,mlkas n psok
matibay na upuan,mtibay n upuan
nakaka gulat naman,nkka gulat nman
kasama ako,ksama aq
malawak ang butas,mlawak ang butas
panganay na anak,pnganay n anak
magandang hapon,mgandang hpon
nakaka paso,nkka paso
magaling na bata,mgaling n bta
matapang na aso,mtapang n aso
duwag na pambato,duwag n pmbato
walang kinakatakutan,wlng knaktakutan
malakas na bayo,mlakas n bayo
pala kaibigan,pla kaibgan
nahuli kita,nhuli kta
saradong pagiisip,sradong pgiisip
sarado ang pinto,srado ang pinto
makapal na mukha,mkapal n muka
masikip na butas,msikip n butas
kasalanan ko ba,kslanan q b
Salita ng pagibig,slita ng pgibig
nakaka takot na putok sa loob,nkka tkot n ptok s loob
hindi ko matanggap,di q mtanggap
madilim na sinapit,mdilim n snapit
maduming tubig,mduming 2big
mahirap gawin,mhirap gwin
nahihirapan na ako,nhihirapan n aq
malakas na bagsak,mlkas n bgsak
hukay hukay,hkay hkay
kalaban kita,klaban kta
pangalawa ako,pngalwa aq
tinapon ko na yun,tnapon q n un
ikaw at ako,kaw at aq
sarap mangyari,srap mngyari
malungkot na pangyayari,mlungkot n pngyayri
maliit na bagay,mliit n bgay
matamis na pagbabalik,mtamis n pgbbalik
nakaka hilo na ito,nkka hilo n i2
matinong pagiisip,mtinong pgiisip
mapanganib na nilalang,mpanganib n nlalang
hindi nalang nangako,di nlng nngako
maingay na bata,maingy n bta
dinurog na paminta,dnurog n pminta
madilim gabi,mdlim n gbi
pwede magpakasal,pd mgpksal
nakakita ng iba,nkakta ng iba
sobrang paghanga,sbrang pghanga
hubad na katotohanan,hbad n ktotohanan
maraming naninira,mraming nninta
handaan na,hndaan n
manood na kayo,mnood n kau
pangako ko sayo,pngako q sau
mamahalin kita ng lubos,mmahalin kta ng lubos
ibuhos mo na,ibhos m n
sa aking lalamunan,s akng llamunan
kapag na lunod,kpag n lunod
bawat patak,bwat ptak
anong sarap,anung srap
ano ba talagang mas gusto mo,nu b tlgang ms gus2 m
totoo ang pagibig,ttoo ang pgibig
magpakailan man,mgpkaylan mn
hindi mag babago,di mg bbago
ang sinisigaw,ang cnicgaw
nitong aking puso,n2ng aking puso
kamukha mo,kmuka mo
nung tayo ay bata pa,nung tau ai bta p
ang galing sumayaw,ang gling smayaw
ang paborito,ang pborito
nakaka indak,nkka indk
nakaka baliw,nkka bliw
makinis mong braso,mkinis mong braso
kahit noon pa man,khit nun p mn
maghapon tayo,mghpon tau
yan lang ang alam ko,yn lng ang alm q
hayop kung tumingin,hyp kung 2mingin
kaybilis naman maglaho,kyblis nmn mglaho
kanina nandyan,knina nnjan
bakit bigla na wala,bat bgla n wla
ngunit ang paborito,ngunt ang pbori2
nakaka tindig balahibo,nkka tndig blahibo
tinuturuan mo ako,tnuturuan m aq
walang kamalay malay,wlng kmlay mlay
umibig ng tunay,umbig ng 2nay
tumigas ang aking katawan,2migas ang king ktawan
lumiliwanag ang buhay,lmiliwnag ang buhay
sana noon pa man,sna non p man
dahil hindi na uso,dhl d n uso
lumipas ang maramin buwan,lmipas ang mraming bwan
sa panaginip nalng,s pnaginip nlng
sa may kanto,s my knto
makulay ang umaga,mkulay ang umga
nakasama sana ako,nkasma sna aq
mga tropa,mga trpa
balang araw,blang araw
makatikim naman,mkatkim
inabot ang bayad,inbot ang byad
pagabot ng kamay,pgabot ng kmay
itigil ninyo yan,tgil nyo yan
sumakay si lola,smakay c lola
nakasabit ako,nkasbit aq
banggaan sa kanto,bnggaan s knto
mahabang usapan,mhabang uspan
paalam muna,paalm mna
nakalimutan ko,nkalimutan
ang pangalan niya,ang pngalan nya
takbo na,tkbo n
ikaw ay magtiwala,kaw ay mgtwala
mahiwaga ako,mhiwaga aq
paki tigil lang,pki tgil lng
bakit ka ganyan,bat k gnyan
pagpasensyahan mo na,pgpsensyahan m n
kutis mo,ktis m
katotohanan na ganyan,kttohan n gnyan
ubod ng ganda,ubod ng gnda
mas bata ako sayo,ms bta aq sau
nagbubulag bulagan,ngbbulag bulagan
tayo ay magsasama,tau ay mgssama
hinatid sa langit,hnatid s langit
hanngang sa dulo ng mundo,gang s dulo ng mndo
tumulo ang luha,2mulo ang luha
masdan mo ang aking mata,msdan m ang aking mta
hindi kailang humanap ng iba,di kaylangan hmanap ng iba
bente,etneb
pagbuhos ng ulan,pgbhos ng ulan
umaaraw umuulan,umaraw umulan
hinahanap hanap kita,hnahnap kta
sa isip at panaginip,s isip at pnaginip
sabik sayo,sbik sau
kahit maghapon,khit mghapon
na tayong magkasama,n taung mgksama
hatid sa bahay ninyo,htid s bhay nio
hindi magsasawa,di mgssawa
umasa ka,umsa ka
madalas man,mdalas mn
ako ay masaya,aq ay msya
ako ay alipin mo,aq ay alpin m
sana ay naririnig,sna ay nrrinig
awit ng kabataan,awt ng kbataan
nangangarap,nngangarap
bakit hindi ninyo subukan,bat di nio sbukan
gusto mo akong subukan,gsto m aqng sbukan
hanggang sa kinabukasan,hnggan s knabkasan
parang kidlat,prang kdlat
tahimik na naghihintay,thimik n nghhintay
dating wala,dtin wla
naalala mo pa ba,naalala m p b
iyong mga sinabi,iyng mga cnabi
basta tayo ay nagsasama,bsta tau ay ngssama
gusto paghatiin,gsto pghatiin
sigaw ng puso ko,cgaw ng puso q
malaman mo,mlaman m
ikaw ang tanging pangarap,kaw ang tnging pngarap
magkapiling,mgkapiling
nandito lang ako,nnd2 lng aq
para lang sayo,pra lng sau
ibuhos na,ibhos n
malunod na,mlunod n
talo ako,olats aq
kukuha ako,kkuha aq
lahat ay nawala,lhat ay nwala
nung iniwan mo ako,nung inwan m aq
upang makita,upng mkita
hindi ko malaman,di q mlaman
bakit bigla nang iwan,bat bgla nang iwan
ginawa ko naman ang lahat,gnawa q nman ang lhat
sana ay pakinggan mo,sna ay pkinggan m
tulad ng mundo,tlad ng mndo
hindi tumitigil sa pag ikot,di 2mitigil s pg ikot
pagibig hindi matatapos,pgibig di mttapos
alaala ay bumabalik,alala ay bmabalik
laging nasa bahay,lging nsa bhay
bigling pinagpalit,bglang pnagpalit
nagkaroon ng katapusan,ngkaron ng ktapusan
pakinggan mo,pkinggan m
kumakalat na balita,kmaklat n blita
bago maniwala,bgo mniwala
maling akala,mling akla
meron ng pamilya,mron ng pmilya
basta huwag kalimutan,bsta wag klimutan
sa kalalabasan,s kllabasn
kaunting gusot,konting gusot
takot sa asaw,tkot s aswa
naglayas sa bahay,nglyas s bhay
akala ay madali ang buhay,kala ay mdali ang bhay
kung hindi sigurado,kung d cgurado
maliit na butas lumalaki,mliit n butas lumlaki
marami ang namamatay,mrami ang nmmatay
sa maling akala,s mling akla
dumadami na naman,dmadami n nman
gumagrabe,gmgrabe
kapag na bulag ka,kpag n blag k
unang nakilala,unng nklala
simpleng kabarkada,smpleng kbarkada
nakaka panibago,nkka pnibago
pagnakikita ay napapangiti,pgnkita ay nppangiti
maniwala ka sana,mnwala k sna
sumabay sa hangin,smbay s hngin
mapapansin kaya,mppansin kya
sa dami ng ginagawa,s dmi ng gnagawa
baka sakaling napapakinggan,bka skaling nppakinggan
nagaabang sa langit,ngaabang s lngit
sa likod ng mga ulap,s lkod ng mga ulap
awit na nawawagan,awt n nwwagan
sa kanta nalang idadaan,s knta nlng idadaan
kahit sulyap lang,khit slyap lng
tumalong kaya ako,2malong kya aq
sa bangin,s bngin
para mayakap ka,pra myakap k
kung kaagawa ko sila,kung kaagaw q cla
paano na kaya,pano n kya
palaisipan,plaisipan
habang magkayakap,hbang mgkayakap
bago tayo,bgo tau
sa dilim,s dlim
heto na ang pinakahihintay natin,eto n ang pnkaiintay ntin
kay sarap,ky srap
mga nakaw na sandali,mga nkaw n sndali
halika na,hlika n
sarap ng pagsasama,srap ng pgssama
hindi namalayan,di nmalyan
wala ka bang nararamdaman,wla k bng nrramdam
panahon na naman,pnahon n nman
gumising ka,gmusing ka
tara na,tra n
bawat tao,bwat tao
bagong saya,bgong saya
matagal na nawala,mtagal n nwala
humahalik sa atin,hmahlik s atin
sa gita ng bagyo,s gtna ng bgyo
liwanag sa dilim,lwanag s dlim
sa agos ng kasaysayan,s agos ng ksaysayan
uukit ng bagong daan,uukit ng bgong daan
isigaw mo,isigaw m
harapin mo,hrapin m
sa iyong ngiti,s iyng ngiti
tumindig at magsilbi,2mindig at mgsilbi
bagong awitin,bgong awitin
nilapitan mo ako,nlapitan m aq
itago mo ang mga sulat,tago m ang mga sulat
hindi na pipilitin pa,di n ppilitn p
pwede bang sabihin mo,pwd bng sbihin m
maghihintay ako sayo,mghhintay aq sau
sa paghintay,s pghntay
huwag kang magtataka,wag kng mgttaka
na makita akong nagiisa,n mkita aqng ngiisa
kasi medyo,kc mdyo
ikot ng mundo,ikt ng mndo
sawa na ba,swa n b
sa aking lambing,s king lmbing
magbalik sa akin,mgblik s akin
bumuhos man ang ulan,bmuhos mn ang ulan
hindi natinag,di ntinag
panalangin ko,pnalngin q
makapiling ka,mkapiling
hindi papayag,d ppyag
tamis ng pagibig,tmis ng pgibig
makinig ka,mkinig k
sa habang buhay,s hbang bhay
mawala ka sa aking piling,mwala k s aking pling
gabing nagdaan,gbing ngdaan
nais makamtan,nais mkamtn
walang kamatayan,wlng kmatyan
muli kang mahagkan,mli kng mhagkan
klarong mata,klarong mta
ikaw ang pupuntahan,kaw ng ppuntahan
pusong ligaw,psong lgaw
pinaka masakit,pnaka msakit
ang tindi walang pagmamahal,ang tndi wlng pgmmhal
napaaga ako,npaaga aq
may hingian,my hngian
nakaka kilabot,nkka klabot
huwag ka na magalit,wag k n mgalit
sobrang bait,sbrang bait
napaaga ako,oka agaapan
may hingian,naignih yam
nakaka kilabot,tobalik akakan
sobrang bait,tiab gnarbos
pahingi bente,etneb ignihap
di ko na tatapusin,d q n ta2pusin
kaya niyo na iyan,kya nio nayan
kasi naman,kc nmn
idol namin kayo,lodi nmen kau
baka ako lang iyon,bka aq lng un
hayop na iyan,ayop n yn
wala kapa kaya kasi,wla kpa kya kc
bakit di niyo nalaman,bkit d nio nlman
kasi naman bigla nawala,kc nmn bgla nwala
siya palang,xa plng
hindi sa kanila iyon,hnd s knila un
makakakapal mukha niyan,mkkkpal mukh nyn
ako talaga para sayo,aq tlga pra sau
baka gusto na nila,bka gsto n nla
Simpleng problema iyan,Smpleng problma yn
wag na dapat ,wg n dpat 
dami satsat,dmi sat2
kahit konti lang,kaht onte lng
di pa naman ako nagbabasa,d p nman aq ngbbsa
sabihan niyo siya,sbhn nio xa
di lang iyan pati na rin ito,d lng yn pti n rn to
tapos hindi pa alam,tas nd p alm
bigyan mo tubig kami,bgyn m 2big kmi
wala naman laman,wla nmn lman
nakaka bwesit,nkka buset
ganda niya naman,gnda nia nman
ayos kasi kami,aus kc kmi
maganda naman siya,mgnda nmn xa
sinong bobo iyan?,cnong bbo yn?
nakakahiya naman sila,nkkhiya nmn cla
problema lang nila,prblma lng nla
gusto ko na yata,gsto q n yta
parang kami lang,prng kme lng
Hindi kayo maganda,Hnd kau mganda
pwede naman iyan,pwd nmn yn
kasi kahit minsan,kc khit mnsn
tapos ganoon pa nangyari,tpos gnun p ngyari
kayo nalang magsama,kau nlng mgsama
seryoso kayo??,sryuso kau??
hindi talaga,hnd tlaga
mahanap lang sila,mhanap lng cla
tapos ayun na,tpos aun n
nakakahiya naman iyan,nkkahiya nmn yn
ganoon talaga,gnun tlga
alam ko na man,alm qn mn
mahirap paghiwalayin iyan,mhirap pghiwalayin yn
dalawa na iyan,dlawa n yn
dapat dito kana,dpat dto kna
hindi ako malamang,hndi aq mlmang
ganoon pala matawa,ganun pla mtawa
lakas lakas ng loob ninyong,Lakasx2 Ng loob nyong
bigay niyo na,bgay nyo na
dapat hindi ka bumitaw,dpt hnd k bmitaw
akala niya ikinapogi niya,Kala nya kinapogi nya
yan tatawa tawa pa,yn ta2wa twa p
sino ba yan sila,cno b yn cla
para matuto mga yan,pra matoto mga yn
kayo sa selda,kau sa silda
gusto kasing sumikat,gus2 kcng sumikat
doon kayong dalawa,don kaung dalawa
yung lalaki,ung la2ki
dapat ituloy yung kaso,dpt i2loy ung kso
kasi marami na ang nangyayaring ganyan,kc mrmi n ang nangya2ring ganian
maayos tapos napapahiya,maaus tpos napa2hiya
huwag ka,wagka
masyadong mapangmaliit ng,masyadon mpangmali8 mg
gusto niyo lang yata,Gusto nio lang ata
bago sana kayo,Bgo zana kau
isipin ninyo din iba tao kasi hindi lahat kagaya niyong,icpn nio dn iva tao kze ndi lhat kgya niong
tapos ngayon iiyak iyak kayo,Tapuz ngayun i iyak2 kau
sana kumita kayo,sna kumita kau
alam niyo na pala,alm nyo na pla
yun tapos magsasalita pa rin kayo ng ganoon,un tas magsa2lita parin kau ng gnun
sana kulong na ito,sna qlong nato
huwag ka na,wag kana
hindi bagay sa kanila,hndi bgay s knila
pero yung puso na sinaktan niyo,pro yong puso n cnktan nyo
huwag na kayong magpaliwanag,Wag na kayung mag paliwamag
talaga yung dalawang,tlga ung dalwaang
kasuhan na yan para maturuan,ksuhan n ean pra ma2ruan
gaganyanin na lang,gganyanin nlng
kulong na yan,qlong n yam
na yan mayayabang,nayan maya2bang
walang nagawa,wlang ngwa
kahit makasira,khit mkacra
hindi ba,diba
sarap sapukin,sarapp spukin
ang totoong may kabutihan,an 22ng my kabutihn
hindi kayo dapat,ndi kYo dpt
saan ba pamilya,san b pmilya
nakakagalit naman,Nkakagalit nman
na ito,n 2
yung paghingi ng tawad,ung apghingi ng twad
dapat makulong yan,dpt makulong ian
kawawa naman,kawa2 nmn
pa pala,p pl
tapos huhusgahan ninyo lang agad agad siya,tpos huhusgahan nio lng agad2x cia
naghahanap buhay lang siya,nag ha2nap Buhay lng sya
sinasabi mo,cnsavi u
kahit makatapak,kh8 mkaapak
mababa siguro,mbb cguro
maganda sa kapwa,mganda s kpwa
niyo pa talaga,nio pa tlga
ninyong dalawa hindi,nyong dlwa Di
tapos parang,TAs prang
tawatawa ka pa,tawa2x kapa
yan iyak iyak,yn eyak2x
para matuto yung mga tao,pra ma22 yong mga tau
tuluyan mo kuya,2luyan mo kyah
pero basura pala,piro basora pla
mga bastos,mga bas2s
mapanglait kasi tingin nila walang kaya,mpangla8 kc tingin nla wlang kaya
gutom daw si ate,gu2m dw c ateh
itong kasong ito,i2ng ksong i2
para lang sumikat,par lng sumikt
hindi mo kayang bayaran,ndi mo kyang byaran
wala akong intensiyon,wl akng intension
bago ka magsalita,bgo k amg salita
tiyak sikat kayo,tyak ckat kau
iyong pagkain ninyo,un pag kain nyo
hindi manlang kayo naawa si kuya,D man lang kau na awa c kua
kasi aminado naman siya,kc aminado nmn sya
kasi ang iniisip,kc an ini isip
sige tol tuluyan mo,cge 2l 2luyan mo
natin ngayon,ntin ngaun
matuto ng leksyon,matoto ng liksyon
dapat nabigyan ng leksyon itong,dpat nbgyan ng leksiyon tong
balewala,baliwala
trabaho noon,trabho nun
mamahiya,mmahiya
ano iyan para sumikat kayo,Anu yn par sumikt kau
tayo sa kapwa natin,tau sa kpwa ntin
nyan dalawa,nian dlwa
turuan ng leksyon yan at ikulong,Toroan ng lekxion Yn at e kulon
akala mo pa naman maganda,kala mopa nmn mganda
itong lalaki,etong llaki
niya panay pa,nia pnay pa
para naman hindi lahat,pra nman d lht
mali ninyo noong,mli nyo nung
pero kung hindi kayo,pro qng di kyo
halatang hindi,Halatamg di
kahit kayo nararamdaman niyo din hindi ba,khit kau nara2mdaman nyo din db
naman pala iyan,namna pla yan
nagtatrabaho ng maayos,nagtrtrabaho ng maaus
akala mo sikat na,kla mo ckat n
mga iyan,mgq yan
bakit kaya ganoon ano,Bt kaya ganun nuh
sino pa yung nakapag aral sila pa iyong nagmumukhang,cno pa ung nkpg aral sila ung nag mumukang
sino pa yung hindi nakapag aral o nakapagtapos sila pa iyong matulungin,cnu p ung hnd nkpg aral oh nkpg tapos cla pa ung ma2lungin
siguro dahil ang gaya nitong dalawang,cguro dhil ang gya ni2ng dlwang
siya ng naka,cya ng nka
iyong ginawa ninyo,ung ginawa nyo
kaya hindi na ako magtataka,kya di na aq magta2ka
mga taong ganito,mga taung gani2
tulungan niyo po si kuya at turuan,2lungan nyo po c kua at 2ruan
kabataan na pasaway na ba,kbtaan n psaway naba
nasaan,asan
mga iyan,mgayan
kasuhan na iyang porket may pera nanglait na,ksuhan nayan purkit my pira nang lait n
nagbisikleta na nga lang iyong tao para,Nagbiseklita n nga lng yong tao pra
tapos pagbibintangan at ipapahiya,tapus pagbibntangan at ipphiya
gagawan natin ng paraan,ggawan naten ng pararaan
hindi kayo nakasagot noong,ndi kau nksagot nung
kung kapatid ko lang yang niloko ninyo sigurado,qng kptid q lng yng niloko nyu segurado
pero wala kwenta yan kasi wala respeto,piro wla kwenta yn kc wla respito
kabastusan naman ang natutunan,kabastosan nman ang natotonan
medyo sikat na kailangan ba talagang manghusga,mejo ckat na kelangan b tlgang mang husga
sigurado masaya na kayo ngayon dahil,cgurado msya n kau ngayun dhil
ingat kasi sa sinasabi,ingt kc s cnsbi
madala sa mga ginagawa,mdala sa mga gngwa
pawis ang puhunan,pwis ang pohunan
diyan turuan ng leksyon,Dyan turoan Ng lecksyon
pa itong dalawang ito,patong dalwang to
magbago na rin,mgbgo narin
ano kaya,anokaya
mukhang hindi naman sikat saka itsurang hindi gagawa,mukang di nmn sikt ska itsurng di ggwa
pa iyong lalaki,p yung lalake
salot sa lipunan,salut s lipunn
nila makulong,nla ma kulong
gusto nila sumikat ayan sobra sobra,gsto nla sumikat ayn sobra2
pansin ko din hindi sila,pancn ko dn ndi cla
paghingi ng tawad,pag hingi ng twad
wala na daw sa sarili,wla nadaw s srili
alangan kayo ipagtanggol,alngan kau ipag tangol
kayo may pinag aralan pero ugali ninyo,kau my pnag aralan pro ugali niu
naku ang babata niyo pa,nku ANG bbta niu p
sampolan nalang,sampulan nlang
bakit si kuya hindi ba nagtatrabaho,bkit c kua dB ngttrabaho
tingnan mo nagtitiyaga,tingnn m ngcchaga
kahit sino kahit ako ayaw ko,kht cnu kht aq Ayw KO
dalawa na yan,dlawa nayan
iyon hinahayaan na lang namin,un hinhyaan nlng nmin
iyong kulang,ung kupang
ayos lang yon,ayus lng un
itong dalawang,etong dlwang
patawa tawa,Pa tawa2
dapat diyan ipakulong mo,dpat jn ipakulung mu
nagkaayos na ba ito,ngkaayus n b to
nanghahamak ng kapwa,ng hhamak ng kpwa
gusto niyo bayaran,gux2 niu byran
hindi gumagana utak,d gumgna utk
pasikat masyado,pckat maxiado
hindi ko nga kilala iyan,diko nga killa yn
tuloy mo yan,toloy moyan
kung kayo kaya sabihan ng ganiyan anong pakiramdam,qng kau kya savhan ng gañyan anung paki ramdm
para magtanda sila,pars mmsgtanda cla
padalos dalos kasi,pa dalos2x kac
porket medyo sikat,porkit mejo ckat
posible iyon wala ba kayong utak,pocbli un walaba kaung utk
mga walang respeto,mg wlang rispito
pakulong mo na yan,pkulong m n yn
parang natutuwa pa itong,prang na22wa p 2ng
natutuwa pa sa mga kalokohan,na22wa p s mga kalukohn
at talagang nakatawa pa,at tlgang nktawa p
hindi niyo alam kung nakakasakit,d nio alm kun nkkasakit
tama yan ituloy mo,tma yn i2loy m
kasi mga ugali,kase mga ugale
dapat diyan,dpat jan
gusto niyo kasi kumita din,guxto nyu kc kueta dn
basta lang,baxta lng
tuwang tuwa pa yung,2wang 2wa payong
mabigyan leksyon,mbigian lecsyon
mayayabang kasi,mayyabng kc
bigyan motor si kuya,bgyan mo2r c kua
tulungan naman sana,2lungan namn sna
kawawa talaga,kwwa tlg
tapos ganyan lang,tpus gnyan lng
mag isip muna tayo,mg icp mona tau
bago magbitaw ng masakit na salita,ngo mg bitaw ng masak8 n slita
kulang din dumating sakin dati,kulng dn dumting skin dti
ganyan talaga kapag pasikat,ganean tlga kpg pasikt
tuluyan mo yan para matuto,2luyan m yn pra matutu
pagkasira ng tao,pagaka cra ng tai
nakulong na ba ito,nakulojg n bato
tawa tawa pa si lalaki,tawa2x p c llaki
magsasabi naman peke,mg sasabi nmn piki
hindi tao ang ganoon,di tau ang ganun
pero yung pobreng tao,pro ung pobleng tai
tingin ko lang silang,tngin kolag dilang
sigurado matanggap nila,cgurado mtangap nla
grabe na yan hindi manlang nag isip,gravi n yn di mnlng ng icip
yung kakainin nila,yun kkainin nla
grabe na yan,grav nah yn
manlait ate kung,mnlait ateh kong
maganda ka,mgnda k
huwag kahit ano lalo kapag hindi nakita,hwag kht anu llo kpag d nkit
dahil lang sa maliit na bagay,dhil lng s mli8 n bgy
hoy nag iba ang tingin,uie naguba an tngin
sana malaking aral na ito,sna mlking arl n eto
huwag mo patawarin,wag mu ptawarin
pagtatawanan ka lang nila kapag,Pg tatawanan k lng nila pg
yan mayayabang,ynmayayabang
huwag kang papayag,Wag kng papayAg
ipapahamak para magpasikat kayo,ippahamak pr mgpasikt kyo
pwede naman yata,pwd nmn ata
bilhan niyo ng bago,bilhna niu ng bgo
huwag kang padala,Wag Kng pdala
sadya talagang pinapahiya,sadja tlagang pinaphiya
pangiti ngiti pa,pa ngiti2x p
dami pa rin nila hindi nag iisip,dmi parin niladi nagiicip
tulungan niyo po siya,tulungn nyu po xa
huwag ka pumayag,hwag k pumayg
turuan ng leksyon,2ruan ng liksyon
dahil lang gutom,dhil lng gu2m
iba pa din talaga kapag,ib padin tlga pag
natawa ako doon sa babae,ntwa aq dun s bbae
magsama kayong dalawa,mgsma kyong dalwa
alam naming may pera kayo,alm nming my pira kau
hindi lahat mababayaran niyo,d lht mbbayaran nio
ipakulong niyo yan,ipakulonh nyu yn
hirap talaga kapag lumalaki ulo,hrap tlaga pg lumalki olo
mukha noong,muka nung
walang maipapakita,wlang mai ppalita
syempre mayroon,xempre meron
tapos yung dalawa parang,tas ung dlwa prang
hindi naman totoo,d nmn 22o
mabago na kayo,mg bago n kayp
nakakaawa naman,nkakaawa namn
nagtatrabaho lang siya pa nakasama,ngttrabaho lng cia p nkasama
labas na baho niyo hoy,lbas n bho nyo uiy
tumatawa pa,2matawa pah
yabang nung babae at lalaki,ybang nun bbae at llake
lakas ng katok,lkas ng ka2k
hindi seryoso,d siryoso
hindi pa ba nakukulong mga ito,di p b nkukulong mga to
sinira niyo ang tao,cnira nio an tau
walang gamot,walng gmot
mga bastos at matapobre,mg bas2s at mta pubre
yan ba ang turo ng magulang niyo,yn b an 2ro ng mgulang niu
kabataan ngayon,kbtaan ngaun
tama ka diyan,tma k dyn
walang modo at respeto,wlang mudo at respe2
para hindi gayahin ng iba,pra ndi gyahin ng ib
huwag laging magpatawad,wag lging mgptawad
biglang bait,bglang ba8t
bakit hindi mo sinabi,bk8 d mu cnvi
hangin sa utak,hngin s utk
maraming ganyan,mrming gnyan
tapos sabihin ko,tpos sbhin koh
naku hirap sa inyo,nko hirp sainyu
kayabangan niyo,kyabangan nyu
walang repeto yung lalaki,wlang res7 ung la2ki
ikulong na yan,eh kulong nayan
nakangiti pa,naka ngite p
dyan din kayo sisikat,jan dn kyo cckat
sarap pag untugin,srp pg un2gin
kumusta na kaya ito,muzta n kya itu
walang intensyon sa sinabi,wlng intencion s cnbi
minsan pag isipan niyo,minsn pg icpan nio
hindi puro dakdak agad,hind pur dak2x agd
nakakasira kayo ng buhay,nkkasira kau ng buhy
hindi yan pasaway,d yn pasway
may tao talagang masama at mapagmataas,my tai tlgang msma at mpg mtaas
may karmang dadating sayo,my krmang ddating sau
may kasabihan kung ano yung nagawa mo,my ksavhn qng anu ung ngwa mu
lahat ng nagkamali,lhat ng nag kmali
kapal ng mukha ng dalawa na yan,kpal ng muka ng dalwa nayan
sige kasuhan niyo yan,cgeh ksuhan nio ean
para doon sila sa loob,pra dun cla s luob
kain ka muna,kaen k mona
ang mali pangit ugali niyo,an mli png8 ugale nyo
mayayabang talaga kayo,myybang talga kayu
natuloy ba kaso nito,na2loy b kso neto
nakatawa pa,nak twa p
tuloy mo na kaso,toloy mu n kso
para mabigyan leksyon,pra mbigyan leksyun
dapat lang,dpat lan
buti nga sa inyo,boti nga senyo
barilin kaya kita,bariln kya kta
walang intensiyon,wlanv intensyun
sila ng todo dito,cla ng tudo d2
sumikat sa maling paraan,sumikt s mling praan
yung mga ganyang bata,ung mga ganiang bta
bait baitan na lang,ba8 ba8an nlng
laban lang kuya,lban lng kua
pasaway ka ba,pasway kaba
nakulong na ba itong dalawa,nkulong nabatong 2
kung gaano kalaki,kng ganu klaki
ganyan din kaliit,ganean dn kali8
sino ka ba,cno k b
isang naghahnap buhay,1ng nghhanap buhy
turuan mga yan,2ruan mg yn
sampahan ng kaso dyan,smphan ng kso jan
naku dapat hindi na kayo nagreklamo pa,nako dpt dina kau ngreklamo p
kita naman nagsusumikap,kta nman ngsusumikp
buti pa kayo makulong,boti p kau mkulong
mukhang mayaman naman kayo,mukang myman nmn kyo
dapat inalam mo ano talaga nangyari,dpt inalm m anu tlga nangyre
dapat na yan sa inyo makulong,dpt nayan sa inyu ma kolong
kapag nagugutom huwag kung ano ano,pag nagugu2m wag kng ano2x
napakawalang hiya niyo naman,npkawlanghiya nio nman
tapos ganoon gagawin sayo,tpus ganun ggwin sau
sino ka ba para mamahiya,cnu kaba pra mmhiya
para lang kumita kayo,pra lng kumit kyo
grabe mamahiya,grabi mmahiya
matuto kayo,matutu kau
dami nakapanood,dmi nkpanuod
ngayon mahina,ngaun mhina
kasama nung babae,ksma nun bbae
ituloy mo,i2loy mu
kahihiyan sayo,kahihiyaan sau
mas bobo pa,mass obob p
nakakainit ng ulo,nakkain8 ng olo
bilhan niyo na lang si kuya,bilhn niu nlng c kua
pagpapahiya niyo sa kanya,pgppahiya nio sknya
hindi talaga seryoso,d tlaga ceryuso
masira niyo sana,ma cra niyu sna
para magtanda at madala,pra mgtnda at mdala
nakatapak pa sa lupa,nka apak p s lup
yung mga ganito,ung mga gani2
